skill;description;type
Work Ethic;Soft Skill;Soft Skill
Problem Solving;Soft Skill;Soft Skill
Creativity;Soft Skill;Soft Skill
Teamwork;Soft Skill;Soft Skill
Critical Thinking;Soft Skill;Soft Skill
Analytical Skills;Soft Skill;Soft Skill
Public Speaking;Soft Skill;Soft Skill
Self Starter;Soft Skill;Soft Skill
Communication;Soft Skill;Soft Skill
Time Management;Soft Skill;Soft Skill
Interpersonal Skills;Soft Skill;Soft Skill
Adaptability;Soft Skill;Soft Skill
Friedliness;Soft Skill;Soft Skill
Listening;Soft Skill;Soft Skill
Empathy;Soft Skill;Soft Skill
Respect;Soft Skill;Soft Skill
Confidence;Soft Skill;Soft Skill
Clarity;Soft Skill;Soft Skill
Active Listening;Soft Skill;Soft Skill
Delegation;Soft Skill;Soft Skill
Cooperation;Soft Skill;Soft Skill
Collaboration;Soft Skill;Soft Skill
Idea Exchange;Soft Skill;Soft Skill
Conflict Management;Soft Skill;Soft Skill
Organization;Soft Skill;Soft Skill
Curiosity;Soft Skill;Soft Skill
Self Management;Soft Skill;Soft Skill
Calmness;Soft Skill;Soft Skill
Optimisim;Soft Skill;Soft Skill
Open Mindedness;Soft Skill;Soft Skill
Self Confident;Soft Skill;Soft Skill
Motivated;Soft Skill;Soft Skill
Persistence;Soft Skill;Soft Skill
Observation;Soft Skill;Soft Skill
Persuasion;Soft Skill;Soft Skill
Brainstorming;Soft Skill;Soft Skill
Decision Making;Soft Skill;Soft Skill
Initiative;Soft Skill;Soft Skill
Analysis;Soft Skill;Soft Skill
Lateral Thinking;Soft Skill;Soft Skill
Logical Reasoning;Soft Skill;Soft Skill
Responsibility;Soft Skill;Soft Skill
Discipline;Soft Skill;Soft Skill
Commitment;Soft Skill;Soft Skill
Integrity;Soft Skill;Soft Skill
Selflessness;Soft Skill;Soft Skill
Agility;Soft Skill;Soft Skill
Humility;Soft Skill;Soft Skill
Cultural Intelligence;Soft Skill;Soft Skill
Authentcity;Soft Skill;Soft Skill
Versatility;Soft Skill;Soft Skill
Generosity;Soft Skill;Soft Skill
Trust;Soft Skill;Soft Skill
Scheduling;Soft Skill;Soft Skill
Critical Observation;Soft Skill;Soft Skill
Memory;Soft Skill;Soft Skill
Acuity;Soft Skill;Soft Skill
Recall;Soft Skill;Soft Skill
Questioning;Soft Skill;Soft Skill
Introspection;Soft Skill;Soft Skill
Prioritzation;Soft Skill;Soft Skill
Stress Management;Soft Skill;Soft Skill
Chkdsk;Command Line Tool;Command Line Tool
ComSpec;Command Line Tool;Command Line Tool
Ipconfig;Command Line Tool;Command Line Tool
Netsh;Command Line Tool;Command Line Tool
QBasic;Command Line Tool;Command Line Tool
Netstat;Command Line Tool;Command Line Tool
Regsvr32;Command Line Tool;Command Line Tool
Win32 Console;Command Line Tool;Command Line Tool
Windows Script Host;Command Line Tool;Command Line Tool
Xcopy;Command Line Tool;Command Line Tool
Cmd.exe;Command Line Tool;Command Line Tool
Net Send;Command Line Tool;Command Line Tool
Bash;Command Line Tool;Command Line Tool
Powershell;Command Line Tool;Command Line Tool
Batch File;Command Line Tool;Command Line Tool
Shell;Command Line Tool;Command Line Tool
AIaaS (Artificial Intelligence as a Service);XaaS;XaaS
AaaS (API as a Service);XaaS;XaaS
BaaS (Backend as a Service);XaaS;XaaS
BaaS (Banking as a Service);XaaS;XaaS
BPaaS (Business Process as a Service);XaaS;XaaS
CaaS (Content as a Service);XaaS;XaaS
CPaaS (Communications as a Service);XaaS;XaaS
DaaS (Data as a Service);XaaS;XaaS
DaaS (Desktop as a Service);XaaS;XaaS
DaaS (Drone as a Service);XaaS;XaaS
DBaaS (Database as a Service);XaaS;XaaS
ESaaS (Energy storage as a Service);XaaS;XaaS
EVaaS (Electric Vechicle as a Service);XaaS;XaaS
FaaS (Function as a Service);XaaS;XaaS
FaaS (Farming as a Service);XaaS;XaaS
GaaS (Games as a Service);XaaS;XaaS
HaaS (Hadoop as a Service);XaaS;XaaS
HaaS (Housing as a Service);XaaS;XaaS
IaaS (Infrastructure as a Service);XaaS;XaaS
